exchangeId,name,rank,percentTotalVolume,volumeUsd,tradingPairs,socket,exchangeUrl,updated
pancake-8453-univ3,PANCAKE UNIV3 (Base),37,0.053781721013362800000000000000000000,31548404.5312869204569529,1,1,https://pancakeswap.finance/,1733987166537
binanceus,Binance.US,38,0.047859891133324201000000000000000000,28074653.9502205209380823,45,0,https://www.binance.us/,1733991266445
max-exchange,Max,39,0.044315999170315767000000000000000000,25995803.8287008447003203,22,0,https://max.maicoin.com/,1733991262300
itbit,Itbit,40,0.039017250342570663000000000000000000,22887553.1372465870000000,5,0,https://www.itbit.com/,1733991279120
sushi-42161-univ3,SUSHI UNIV3 (Arbitrum),41,0.038170766687017788000000000000000000,22391005.0853932565417126,2,1,https://sushi.com/,1733987143736
kickex,KickEX,42,0.034217569476215950000000000000000000,20072056.1479402532003607,34,0,https://kickex.com,1733991279287
uniswap-10-univ3,UNISWAP UNIV3 (Optimism),43,0.033709315243665954000000000000000000,19773913.7711047849324412,2,1,https://uniswap.org/,1733987153891
pancake-1-univ3,PANCAKE UNIV3 (Ethereum),44,0.031703412241147179000000000000000000,18597249.3174280083258007,1,1,https://pancakeswap.finance/,1733987162479
sushi-8453-univ3,SUSHI UNIV3 (Base),45,0.026354906221921819000000000000000000,15459811.0139824983398064,1,1,https://sushi.com/,1733987164757
uniswap-137-univ3,UNISWAP UNIV3 (Polygon),46,0.020722290089022428000000000000000000,12155713.4696512008196087,3,1,https://uniswap.org/,1733987143963
uniswap-1-univ2,UNISWAP UNIV2 (Ethereum),47,0.018426744332088260000000000000000000,10809144.3231963219258527,4,1,https://uniswap.org/,1733987162485
btcmarket,BTCMarket,48,0.017907964241434048000000000000000000,10504827.4688013077749667,6,0,https://www.btcmarkets.net/,1733991277089
paribu,Paribu,49,0.0054948685330518753554000000000000000000,3223294.6819215297443312,9,0,https://www.paribu.com/,1733991257206
coinmate,Coinmate,50,0.0043071734853526814221000000000000000000,2526591.7293456837057017,3,1,https://coinmate.io/,1733991282181
uniswap-8453-univ2,UNISWAP UNIV2 (Base),51,0.0035078773387216601040000000000000000000,2057723.9114499175772156,1,1,https://uniswap.org/,1733987148425
btcbox,BTCBOX,52,0.0021315830099829148453000000000000000000,1250388.4558519522494796,1,0,https://www.btcbox.co.jp,1733991280962
gopax,GOPAX,53,0.0011842631862302192855000000000000000000,694689.8196399987890868,30,0,https://www.gopax.co.kr/,1733991282335
sushi-10-univ3,SUSHI UNIV3 (Optimism),54,0.0004908946285678824337000000000000000000,287959.2179738437630614,2,1,https://sushi.com/,1733987145447
sushi-1-univ2,SUSHI UNIV2 (Ethereum),55,0.0002668341138691276602000000000000000000,156525.1243075524357450,2,1,https://sushi.com/,1733987149944
cex,Cex,56,0.0002160887122380211587000000000000000000,126757.8273784898531363,43,0,https://www.cex.io/,1733991224074
quickswap-137-univ2,QUICKSWAP UNIV2 (Polygon),57,0.0001394367934998366479000000000000000000,81793.7448819343599554,3,1,https://quickswap.exchange/,1733987164763
raydium-900,RAYDIUM (Solana),58,0.0001380572108305279969000000000000000000,80984.4804828853240788,1,1,https://curve.fi/,1733991210890
sushi-137-univ2,SUSHI UNIV2 (Polygon),59,0.0000765295663262314097000000000000000000,44892.3104648141507471,2,1,https://sushi.com/,1733987084649
pancake-1-univ2,PANCAKE UNIV2 (Ethereum),60,0.0000545243297158678106000000000000000000,31984.0194449350193991,1,1,https://pancakeswap.finance/,1733986225470
uniswap-42161-univ2,UNISWAP UNIV2 (Arbitrum),61,0.0000526523969297897934000000000000000000,30885.9420372616041676,2,1,https://uniswap.org/,1733987147228
sushi-42161-univ2,SUSHI UNIV2 (Arbitrum),62,0.0000475749454031032954000000000000000000,27907.5045359383247853,3,1,https://sushi.com/,1733987171047
btctradeua,BTC Trade UA,63,0.0000187243320524462609000000000000000000,10983.7095399372480196,6,0,https://btc-trade.com.ua/,1733991240083
sushi-137-univ3,SUSHI UNIV3 (Polygon),64,0.0000106525990486286517000000000000000000,6248.8239082612679859,1,1,https://sushi.com/,1733986647853
shibaswap-1-univ2,SHIBASWAP UNIV2 (Ethereum),65,0.0000047543345646308046000000000000000000,2788.8968090996016026,1,1,https://shibaswap.com/,1733976277423
sushi-8453-univ2,SUSHI UNIV2 (Base),66,0.0000011542437818398118000000000000000000,677.0804107989995486,1,1,https://sushi.com/,1733986890126
pancake-8453-univ2,PANCAKE UNIV2 (Base),67,0.00000014466223703371171509000000000000000000,84.8589946239633997,1,1,https://pancakeswap.finance/,1733986987109
camelot-42161-univ2,CAMELOT UNIV2 (Arbitrum),68,0.00000009581562754215120710000000000000000000,56.2055308227834462,2,1,https://camelot.exchange/,1733981639033
uniswap-10-univ2,UNISWAP UNIV2 (Optimism),69,0.00000009253569500839098634000000000000000000,54.2815195330613088,1,1,https://uniswap.org/,1733984238555
uniswap-137-univ2,UNISWAP UNIV2 (Polygon),70,0.00000006698935685676739361000000000000000000,39.2960152554979078,1,1,https://uniswap.org/,1733981866531
pancake-42161-univ2,PANCAKE UNIV2 (Arbitrum),71,0.00000000617334305372787376000000000000000000,3.6212884284797531,1,1,https://pancakeswap.finance/,1733976808885
zb,ZB,117,,,0,,https://www.zb.com/,1662264169320
okcoin,OkCoin,74,,,0,,https://www.okcoin.com,1681374633809
okex,Okex,73,,,0,,https://www.okex.com/,0
osmosis,Osmosis,72,,,0,,https://app.osmosis.zone/,0
poloniex,Poloniex,76,,,0,,https://poloniex.com/,1692177923613
bkex,Bkex,106,,,0,,https://www.bkex.com/,0
wazirx,WazirX,113,,,0,,https://wazirx.com/,1733991264549
mercatox,Mercatox,77,,,0,,https://mercatox.com/,1733413608230
qryptos,Liquid,78,,,0,,https://www.qryptos.com/,1721992568436
kuna,Kuna,79,,,0,,https://kuna.io/,1677701260207
quoine,Quoine,80,,,0,,https://quoine.com/,1721992568616
hotbit,Hotbit,81,,,0,,https://www.hotbit.io/,1684920757709
fraxswap-42161-univ2,FRAXSWAP UNIV2 (Arbitrum),82,,,0,,https://fraxswap.com/,0
smardex-137-univ2,SMARDEX UNIV2 (Polygon),83,,,0,,https://smardex.io/,0
smardex-1-univ2,SMARDEX UNIV2 (Ethereum),84,,,0,,https://smardex.io/,0
smardex-42161-univ2,SMARDEX UNIV2 (Arbitrum),85,,,0,,https://smardex.io/,1725041095753
smardex-8453-univ2,SMARDEX UNIV2 (Base),86,,,0,,https://smardex.io/,1725041092114
sushi,SushiSwap,87,,,0,,https://sushi.com/,1719351130344
fraxswap-1-univ2,FRAXSWAP UNIV2 (Ethereum),88,,,0,,https://fraxswap.com/,0
fraxswap-137-univ2,FRAXSWAP UNIV2 (Polygon),89,,,0,,https://fraxswap.com/,0
fraxswap-10-univ2,FRAXSWAP UNIV2 (Optimism),90,,,0,,https://fraxswap.com/,0
exmarkets,ExMarkets,91,,,0,,https://exmarkets.com/,1716390699724
sushi-1-univ3,SUSHI UNIV3 (Ethereum),92,,,0,,https://sushi.com/,1728903529655
curve-8453,CURVE (Base),93,,,0,,https://curve.fi/,0
curve-42161,CURVE (Arbitrum),94,,,0,,https://curve.fi/,1725041066209
curve-137,CURVE (Polygon),95,,,0,,https://curve.fi/,0
curve-10,CURVE (Optimism),96,,,0,,https://curve.fi/,0
therocktrading,The Rock Trading,97,,,0,,https://www.therocktrading.com,1676660097265
thorchain,THORChain,98,,,0,,https://thorchain.org/,1668435396236
binance,Binance,1,34.389709328114291548000000000000000000,20173033535.4488337249863316,556,1,https://www.binance.com/,1733991283307
gdax,Coinbase Pro,2,11.471314354475162900000000000000000000,6729083021.9178284632570513,212,1,https://pro.coinbase.com/,1733991283044
crypto,Crypto.com Exchange,3,7.647400213001130803000000000000000000,4485971645.8769382813114078,108,0,https://api.crypto.com/,1733991236056
digifinex,DigiFinex,4,7.354475757042946865000000000000000000,4314141904.1068710932756663,121,0,https://www.digifinex.com/,1733991282874
whitebit,WhiteBIT,5,6.150721655128371399000000000000000000,3608018696.2987530321059124,107,0,https://whitebit.com,1733991283122
gate,Gate,6,5.290567119991390040000000000000000000,3103451294.5382161351104605,1058,0,https://gate.io/,1733991282659
kraken,Kraken,7,3.263450233946938587000000000000000000,1914342758.2523805639783372,295,0,https://kraken.com,1733991282558
currency-com,Currency.com,8,2.985126139323078972000000000000000000,1751077601.1962123036959481,42,0,https://currency.com/,1733991283130
huobi,Huobi,9,2.888212821380466004000000000000000000,1694228164.2255524516671723,198,1,https://www.hbg.com/,1733991282972
bitmax,AscendEX (Bitmax),10,2.746409989971772096000000000000000000,1611046499.4392616931815557,142,0,https://www.bitmax.io/,1733991252925
lbank,LBank,11,2.672854267615772187000000000000000000,1567898648.4453982936863521,110,0,https://www.lbank.info,1733991255651
kucoin,Kucoin,12,2.073310281965852183000000000000000000,1216205622.6888563411408755,518,0,https://www.kucoin.io/,1733991268384
bigone,BigONE,13,1.807348801461262324000000000000000000,1060192385.8752927328482003,58,0,https://big.one/,1733991274302
probit,ProBit,14,1.387919714727889172000000000000000000,814154917.1753800820767624,310,0,https://www.probit.com/en-us/,1733991279763
tidex,Tidex,15,0.983716433657001372000000000000000000,577048919.3786670050964748,26,0,https://tidex.com/,1733991283030
bitstamp,Bitstamp,16,0.799539761278627047000000000000000000,469010722.4608785545317922,90,1,https://www.bitstamp.net/,1733991282689
bitfinex,Bitfinex,17,0.730957482046801311000000000000000000,428780297.5485607652814795,132,1,https://bitfinex.com,1733991253609
uniswap-42161-univ3,UNISWAP UNIV3 (Arbitrum),18,0.616220548146580480000000000000000000,361475511.8860804894962817,4,1,https://uniswap.org/,1733987174421
hitbtc,HitBTC,19,0.608121922650995041000000000000000000,356724851.0952396514269966,228,1,https://hitbtc.com/,1733991265189
yobit,YoBit,20,0.601776073120500231000000000000000000,353002370.2167831090292499,11,0,https://yobit.net,1733991282336
dex-trade,Dex-Trade,21,0.541428312291277947000000000000000000,317602320.9932818404986114,75,0,https://dex-trade.com/,1733991283273
bibox,Bibox,22,0.461531765353937212000000000000000000,270734936.7605255271561321,130,0,https://www.bibox.com,1733991198567
gemini,Gemini,23,0.331132997468493534000000000000000000,194242905.5998043037140837,58,1,https://gemini.com/,1733991282206
btcturk,BTCTurk,24,0.297289736674249674000000000000000000,174390419.2517128552011563,83,0,https://www.btcturk.com/,1733991258232
coincheck,coincheck,25,0.275053397824065274000000000000000000,161346563.4560590403434087,1,0,coincheck,1733991260034
bitkub,Bitkub,26,0.188636021518025071000000000000000000,110654055.0188892469886702,45,0,https://www.bitkub.com/,1733991254425
bitbank,Bitbank,27,0.152310059534814346000000000000000000,89345213.9844095979732641,4,0,https://www.bibank.com,1733991282699
independentreserve,Independent Reserve,28,0.137218952943311392000000000000000000,80492757.6739242544406319,96,0,https://www.independentreserve.com/,1733991282493
exmo,Exmo,29,0.129720448741053666000000000000000000,76094128.5580280996852044,119,0,https://www.exmo.com/,1733991283305
uniswap-8453-univ3,UNISWAP UNIV3 (Base),30,0.128579637433783436000000000000000000,75424927.6485465105999518,2,1,https://uniswap.org/,1733987166535
pancake-42161-univ3,PANCAKE UNIV3 (Arbitrum),31,0.104502398722458824000000000000000000,61301198.3860988164737784,3,1,https://pancakeswap.finance/,1733987175141
bitso,Bitso,32,0.099976638176010598000000000000000000,58646383.2957522088072557,27,1,https://www.bitso.com/,1733991281242
luno,Luno,33,0.074384711040617551000000000000000000,43634136.4804821463201316,24,1,https://www.luno.com/,1733991271745
alterdice,Alterdice,34,0.067612838267236003000000000000000000,39661749.9955653332571494,1,0,https://alterdice.com/,1733991283207
uniswap-1-univ3,UNISWAP UNIV3 (Ethereum),35,0.059770214739324928000000000000000000,35061260.1826110069317160,2,1,https://uniswap.org/,1733987137752
indodax,Indodax,36,0.057367090095996347000000000000000000,33651585.1674139766271598,161,0,https://indodax.com/,1733991282724
pancake-8453-univ3,PANCAKE UNIV3 (Base),37,0.053781721013362800000000000000000000,31548404.5312869204569529,1,1,https://pancakeswap.finance/,1733987166537
binanceus,Binance.US,38,0.047859891133324201000000000000000000,28074653.9502205209380823,45,0,https://www.binance.us/,1733991266445
max-exchange,Max,39,0.044315999170315767000000000000000000,25995803.8287008447003203,22,0,https://max.maicoin.com/,1733991262300
itbit,Itbit,40,0.039017250342570663000000000000000000,22887553.1372465870000000,5,0,https://www.itbit.com/,1733991279120
sushi-42161-univ3,SUSHI UNIV3 (Arbitrum),41,0.038170766687017788000000000000000000,22391005.0853932565417126,2,1,https://sushi.com/,1733987143736
kickex,KickEX,42,0.034217569476215950000000000000000000,20072056.1479402532003607,34,0,https://kickex.com,1733991279287
uniswap-10-univ3,UNISWAP UNIV3 (Optimism),43,0.033709315243665954000000000000000000,19773913.7711047849324412,2,1,https://uniswap.org/,1733987153891
pancake-1-univ3,PANCAKE UNIV3 (Ethereum),44,0.031703412241147179000000000000000000,18597249.3174280083258007,1,1,https://pancakeswap.finance/,1733987162479
sushi-8453-univ3,SUSHI UNIV3 (Base),45,0.026354906221921819000000000000000000,15459811.0139824983398064,1,1,https://sushi.com/,1733987164757
uniswap-137-univ3,UNISWAP UNIV3 (Polygon),46,0.020722290089022428000000000000000000,12155713.4696512008196087,3,1,https://uniswap.org/,1733987143963
uniswap-1-univ2,UNISWAP UNIV2 (Ethereum),47,0.018426744332088260000000000000000000,10809144.3231963219258527,4,1,https://uniswap.org/,1733987162485
btcmarket,BTCMarket,48,0.017907964241434048000000000000000000,10504827.4688013077749667,6,0,https://www.btcmarkets.net/,1733991277089
paribu,Paribu,49,0.0054948685330518753554000000000000000000,3223294.6819215297443312,9,0,https://www.paribu.com/,1733991257206
coinmate,Coinmate,50,0.0043071734853526814221000000000000000000,2526591.7293456837057017,3,1,https://coinmate.io/,1733991282181
uniswap-8453-univ2,UNISWAP UNIV2 (Base),51,0.0035078773387216601040000000000000000000,2057723.9114499175772156,1,1,https://uniswap.org/,1733987148425
btcbox,BTCBOX,52,0.0021315830099829148453000000000000000000,1250388.4558519522494796,1,0,https://www.btcbox.co.jp,1733991280962
gopax,GOPAX,53,0.0011842631862302192855000000000000000000,694689.8196399987890868,30,0,https://www.gopax.co.kr/,1733991282335
sushi-10-univ3,SUSHI UNIV3 (Optimism),54,0.0004908946285678824337000000000000000000,287959.2179738437630614,2,1,https://sushi.com/,1733987145447
sushi-1-univ2,SUSHI UNIV2 (Ethereum),55,0.0002668341138691276602000000000000000000,156525.1243075524357450,2,1,https://sushi.com/,1733987149944
cex,Cex,56,0.0002160887122380211587000000000000000000,126757.8273784898531363,43,0,https://www.cex.io/,1733991224074
quickswap-137-univ2,QUICKSWAP UNIV2 (Polygon),57,0.0001394367934998366479000000000000000000,81793.7448819343599554,3,1,https://quickswap.exchange/,1733987164763
raydium-900,RAYDIUM (Solana),58,0.0001380572108305279969000000000000000000,80984.4804828853240788,1,1,https://curve.fi/,1733991210890
sushi-137-univ2,SUSHI UNIV2 (Polygon),59,0.0000765295663262314097000000000000000000,44892.3104648141507471,2,1,https://sushi.com/,1733987084649
pancake-1-univ2,PANCAKE UNIV2 (Ethereum),60,0.0000545243297158678106000000000000000000,31984.0194449350193991,1,1,https://pancakeswap.finance/,1733986225470
uniswap-42161-univ2,UNISWAP UNIV2 (Arbitrum),61,0.0000526523969297897934000000000000000000,30885.9420372616041676,2,1,https://uniswap.org/,1733987147228
sushi-42161-univ2,SUSHI UNIV2 (Arbitrum),62,0.0000475749454031032954000000000000000000,27907.5045359383247853,3,1,https://sushi.com/,1733987171047
btctradeua,BTC Trade UA,63,0.0000187243320524462609000000000000000000,10983.7095399372480196,6,0,https://btc-trade.com.ua/,1733991240083
sushi-137-univ3,SUSHI UNIV3 (Polygon),64,0.0000106525990486286517000000000000000000,6248.8239082612679859,1,1,https://sushi.com/,1733986647853
shibaswap-1-univ2,SHIBASWAP UNIV2 (Ethereum),65,0.0000047543345646308046000000000000000000,2788.8968090996016026,1,1,https://shibaswap.com/,1733976277423
sushi-8453-univ2,SUSHI UNIV2 (Base),66,0.0000011542437818398118000000000000000000,677.0804107989995486,1,1,https://sushi.com/,1733986890126
pancake-8453-univ2,PANCAKE UNIV2 (Base),67,0.00000014466223703371171509000000000000000000,84.8589946239633997,1,1,https://pancakeswap.finance/,1733986987109
camelot-42161-univ2,CAMELOT UNIV2 (Arbitrum),68,0.00000009581562754215120710000000000000000000,56.2055308227834462,2,1,https://camelot.exchange/,1733981639033
uniswap-10-univ2,UNISWAP UNIV2 (Optimism),69,0.00000009253569500839098634000000000000000000,54.2815195330613088,1,1,https://uniswap.org/,1733984238555
uniswap-137-univ2,UNISWAP UNIV2 (Polygon),70,0.00000006698935685676739361000000000000000000,39.2960152554979078,1,1,https://uniswap.org/,1733981866531
pancake-42161-univ2,PANCAKE UNIV2 (Arbitrum),71,0.00000000617334305372787376000000000000000000,3.6212884284797531,1,1,https://pancakeswap.finance/,1733976808885
zb,ZB,117,,,0,,https://www.zb.com/,1662264169320
okcoin,OkCoin,74,,,0,,https://www.okcoin.com,1681374633809
okex,Okex,73,,,0,,https://www.okex.com/,0
osmosis,Osmosis,72,,,0,,https://app.osmosis.zone/,0
poloniex,Poloniex,76,,,0,,https://poloniex.com/,1692177923613
bkex,Bkex,106,,,0,,https://www.bkex.com/,0
wazirx,WazirX,113,,,0,,https://wazirx.com/,1733991264549
mercatox,Mercatox,77,,,0,,https://mercatox.com/,1733413608230
qryptos,Liquid,78,,,0,,https://www.qryptos.com/,1721992568436
kuna,Kuna,79,,,0,,https://kuna.io/,1677701260207
quoine,Quoine,80,,,0,,https://quoine.com/,1721992568616
hotbit,Hotbit,81,,,0,,https://www.hotbit.io/,1684920757709
fraxswap-42161-univ2,FRAXSWAP UNIV2 (Arbitrum),82,,,0,,https://fraxswap.com/,0
smardex-137-univ2,SMARDEX UNIV2 (Polygon),83,,,0,,https://smardex.io/,0
smardex-1-univ2,SMARDEX UNIV2 (Ethereum),84,,,0,,https://smardex.io/,0
smardex-42161-univ2,SMARDEX UNIV2 (Arbitrum),85,,,0,,https://smardex.io/,1725041095753
smardex-8453-univ2,SMARDEX UNIV2 (Base),86,,,0,,https://smardex.io/,1725041092114
sushi,SushiSwap,87,,,0,,https://sushi.com/,1719351130344
fraxswap-1-univ2,FRAXSWAP UNIV2 (Ethereum),88,,,0,,https://fraxswap.com/,0
fraxswap-137-univ2,FRAXSWAP UNIV2 (Polygon),89,,,0,,https://fraxswap.com/,0
fraxswap-10-univ2,FRAXSWAP UNIV2 (Optimism),90,,,0,,https://fraxswap.com/,0
exmarkets,ExMarkets,91,,,0,,https://exmarkets.com/,1716390699724
sushi-1-univ3,SUSHI UNIV3 (Ethereum),92,,,0,,https://sushi.com/,1728903529655
curve-8453,CURVE (Base),93,,,0,,https://curve.fi/,0
curve-42161,CURVE (Arbitrum),94,,,0,,https://curve.fi/,1725041066209
curve-137,CURVE (Polygon),95,,,0,,https://curve.fi/,0
curve-10,CURVE (Optimism),96,,,0,,https://curve.fi/,0
therocktrading,The Rock Trading,97,,,0,,https://www.therocktrading.com,1676660097265
thorchain,THORChain,98,,,0,,https://thorchain.org/,1668435396236
binance,Binance,1,34.412404879131643149000000000000000000,20183644576.7711871393831704,556,1,https://www.binance.com/,1733991411986
gdax,Coinbase Pro,2,11.472877597387781746000000000000000000,6729099128.9859195619926615,212,1,https://pro.coinbase.com/,1733991415749
crypto,Crypto.com Exchange,3,7.641093118306918618000000000000000000,4481671891.8544459339397753,108,0,https://api.crypto.com/,1733991411570
digifinex,DigiFinex,4,7.354926113584445023000000000000000000,4313828547.7695277744403835,121,0,https://www.digifinex.com/,1733991417342
whitebit,WhiteBIT,5,6.145294242897303900000000000000000000,3604352420.4126250650016582,107,0,https://whitebit.com,1733991417272
gate,Gate,6,5.293028631374033647000000000000000000,3104479591.1695355296634370,1057,0,https://gate.io/,1733991417362
kraken,Kraken,7,3.263973081764261357000000000000000000,1914393162.0550184789653488,295,0,https://kraken.com,1733991417253
currency-com,Currency.com,8,2.984379755933097304000000000000000000,1750405427.5611776147797792,42,0,https://currency.com/,1733991417332
huobi,Huobi,9,2.888630785978803996000000000000000000,1694246516.6993173425013418,198,1,https://www.hbg.com/,1733991416902
bitmax,AscendEX (Bitmax),10,2.741266743556598360000000000000000000,1607814212.2412894723915427,142,0,https://www.bitmax.io/,1733991409715
lbank,LBank,11,2.673310772623096435000000000000000000,1567956516.4769646379596786,110,0,https://www.lbank.info,1733991376689
kucoin,Kucoin,12,2.073042977875003703000000000000000000,1215886038.9084273018509852,518,0,https://www.kucoin.io/,1733991367693
bigone,BigONE,13,1.807429532930895252000000000000000000,1060097817.0043339022584865,58,0,https://big.one/,1733991412587
probit,ProBit,14,1.381736117857577311000000000000000000,810419114.8418423802755159,310,0,https://www.probit.com/en-us/,1733991414403
tidex,Tidex,15,0.983792904686122916000000000000000000,577016526.3101221094144489,26,0,https://tidex.com/,1733991398550
